gname,count
Unknown,6390
Taliban,1249
Islamic State of Iraq and the Levant (ISIL),1221
Boko Haram,542
Houthi extremists (Ansar Allah),501
Al-Shabaab,399
Kurdistan Workers' Party (PKK),338
New People's Army (NPA),322
Maoists,274
Donetsk People's Republic,273
