country_txt,iyear,gname,count
Afghanistan,2018,Taliban,1249
Afghanistan,2018,Unknown,412
India,2018,Unknown,382
Iraq,2018,Unknown,692
Nigeria,2018,Unknown,125
Pakistan,2018,Unknown,308
Philippines,2018,Unknown,197
Somalia,2018,Unknown,59
Syria,2018,Unknown,72
Thailand,2018,Unknown,98
Yemen,2018,Unknown,172
India,2018,Maoists,191
Somalia,2018,Al-Shabaab,436
Nigeria,2018,Boko Haram,209
Iraq,2018,Islamic State of Iraq and the Levant (ISIL),654
Philippines,2018,Islamic State of Iraq and the Levant (ISIL),3
Syria,2018,Islamic State of Iraq and the Levant (ISIL),70
Yemen,2018,Houthi extremists (Ansar Allah),287
