gname,count
Unknown,6006
Islamic State of Iraq and the Levant (ISIL),1470
Taliban,1065
Houthi extremists (Ansar Allah),706
Al-Shabaab,564
Kurdistan Workers' Party (PKK),364
Maoists,268
Boko Haram,243
Tripoli Province of the Islamic State,185
New People's Army (NPA),172
