gname,count
Unknown,1769
Taliban,954
Houthi extremists (Ansar Allah),320
Islamic State of Iraq and the Levant (ISIL),225
Fulani extremists,181
Boko Haram,139
Al-Shabaab,128
Maoists,73
Indigenous People of Biafra (IPOB),69
Allied Democratic Forces (ADF),68
