country_txt,iyear,gname,count
Afghanistan,2012,Taliban,793
Pakistan,2012,Taliban,7
Afghanistan,2012,Unknown,640
India,2012,Unknown,234
Iraq,2012,Unknown,1122
Nigeria,2012,Unknown,182
Pakistan,2012,Unknown,1301
Philippines,2012,Unknown,105
Somalia,2012,Unknown,140
Syria,2012,Unknown,127
Thailand,2012,Unknown,196
Yemen,2012,Unknown,82
India,2012,Maoists,163
Yemen,2012,Al-Qaida in the Arabian Peninsula (AQAP),199
Somalia,2012,Al-Shabaab,182
Nigeria,2012,Boko Haram,424
Iraq,2012,Al-Qaida in Iraq,304
