gname,count
Unknown,3166
Communist Party of India - Maoist (CPI-Maoist),371
Taliban,215
Al-Shabaab,164
Boko Haram,127
Tehrik-i-Taliban Pakistan (TTP),121
Gunmen,118
Revolutionary Armed Forces of Colombia (FARC),83
Al-Qaida in the Arabian Peninsula (AQAP),75
New People's Army (NPA),48
