gname,count
Unknown,4820
Taliban,800
Boko Haram,424
Al-Qaida in Iraq,304
Al-Shabaab,236
Al-Qaida in the Arabian Peninsula (AQAP),200
Tehrik-i-Taliban Pakistan (TTP),174
Maoists,164
Kurdistan Workers' Party (PKK),141
New People's Army (NPA),86
