gname,count
Unknown,2722
Taliban,1886
Houthi extremists (Ansar Allah),397
Islamic State of Iraq and the Levant (ISIL),387
Boko Haram,299
Al-Shabaab,292
Fulani extremists,162
New People's Army (NPA),145
Conspiracy theory extremists,116
Muslim extremists,116
