gname,count
Unknown,8813
Islamic State of Iraq and the Levant (ISIL),1251
Taliban,1035
Al-Shabaab,871
Boko Haram,496
Donetsk People's Republic,332
Al-Qaida in the Arabian Peninsula (AQAP),296
New People's Army (NPA),289
Maoists,252
Houthi extremists (Ansar Allah),169
