gname,count
Unknown,3553
Taliban,1250
Islamic State of Iraq and the Levant (ISIL),731
Al-Shabaab,482
Houthi extremists (Ansar Allah),374
Fulani extremists,306
New People's Army (NPA),283
Boko Haram,244
Maoists,191
Khorasan Chapter of the Islamic State,145
