gname,count
Unknown,7967
Taliban,775
Islamic State of Iraq and the Levant (ISIL),377
Al-Shabaab,325
Boko Haram,234
New People's Army (NPA),210
Maoists,165
Tehrik-i-Taliban Pakistan (TTP),158
Al-Qaida in the Arabian Peninsula (AQAP),143
Revolutionary Armed Forces of Colombia (FARC),105
