gname,count
Unknown,4435
Islamic State of Iraq and the Levant (ISIL),1358
Taliban,894
Al-Shabaab,573
Houthi extremists (Ansar Allah),416
New People's Army (NPA),360
Boko Haram,338
Maoists,205
Khorasan Chapter of the Islamic State,175
Kurdistan Workers' Party (PKK),156
